Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
1000;0;0;0;0;0;0;0;0;0;2014;Företag;-;1
139000;8000;0;0;0;0;0;8000;129000;8000;2017;Man;31-40;24
2000;0;0;0;0;0;0;0;2000;0;2020;Man;31-40;3
30000;0;0;0;0;0;0;0;27000;3000;2021;Kvinna;18-30;11
0;0;0;0;0;0;0;0;0;0;2021;Man;31-40;0
24000;0;0;0;0;0;0;0;15000;2000;2006;Kvinna;11-17;0
18000;0;0;0;0;0;0;0;17000;0;2017;Kvinna;18-30;1
138000;0;0;0;0;0;0;0;9000;129000;2020;Man;18-30;14
433000;0;0;0;0;0;0;0;76000;148000;2014;Kvinna;31-40;13
245000;0;0;0;0;0;0;0;4000;185000;2015;Man;31-40;17
222000;0;0;0;0;0;0;0;75000;99000;2018;Man;31-40;21
57000;0;0;0;0;0;0;0;31000;20000;2015;Kvinna;71-80;5
83000;0;0;0;0;0;0;0;49000;0;2017;Man;51-60;0
0;0;0;0;0;0;0;0;0;0;2017;Man;31-40;0
7000;0;0;0;0;0;0;0;0;7000;2021;Kvinna;18-30;22
19000;5000;0;0;5000;0;0;0;14000;5000;2020;Kvinna;41-50;10
218000;218000;61000;0;0;79000;0;78000;0;218000;2013;Kvinna;61-70;0
584000;0;0;0;0;0;0;0;0;583000;2011;Kvinna;51-60;0
174000;0;0;0;0;0;0;0;0;8000;2017;Kvinna;31-40;2
36000;0;0;0;0;0;0;0;36000;0;2019;Man;61-70;19
53000;0;0;0;0;0;0;0;0;53000;2016;Man;31-40;1
134000;35000;0;0;0;0;0;35000;43000;91000;2018;Kvinna;18-30;3
1000;0;0;0;0;0;0;0;1000;0;2021;Man;11-17;19
120000;0;0;0;0;0;0;0;0;36000;2016;Kvinna;41-50;1
1015000;0;0;0;0;0;0;0;455000;283000;2006;Kvinna;41-50;0
8000;0;0;0;0;0;0;0;8000;0;2020;Man;71-80;0
0;0;0;0;0;0;0;0;0;0;2020;Man;31-40;2
132000;0;0;0;0;0;0;0;77000;8000;2014;Man;31-40;2
5420000;0;0;0;0;0;0;0;3088000;292000;2000;Man;61-70;21
324000;0;0;0;0;0;0;0;0;297000;2020;Kvinna;41-50;4
4000;0;0;0;0;0;0;0;2000;2000;2021;Man;18-30;21
1060000;0;0;0;0;0;0;0;915000;77000;2011;Man;18-30;26
808000;9000;9000;0;0;0;0;0;390000;385000;2016;Kvinna;31-40;21
73000;0;0;0;0;0;0;0;32000;10000;2018;Kvinna;31-40;1
1409000;0;0;0;0;0;0;0;1366000;39000;2017;Man;31-40;27
239000;0;0;0;0;0;0;0;204000;18000;2016;Man;31-40;31
29000;0;0;0;0;0;0;0;0;0;2011;Man;61-70;0
403000;3000;0;0;0;0;0;3000;168000;222000;2014;Kvinna;31-40;3
435000;0;0;0;0;0;0;0;0;97000;2018;Man;31-40;3
3000;0;0;0;0;0;0;0;0;3000;2021;Man;18-30;0
130000;0;0;0;0;0;0;0;0;63000;2014;Man;71-80;0
1000;0;0;0;0;0;0;0;0;0;2019;Man;18-30;5
1365000;0;0;0;0;0;0;0;204000;922000;2013;Man;31-40;21
7000;0;0;0;0;0;0;0;4000;3000;2020;Kvinna;18-30;5
42000;0;0;0;0;0;0;0;42000;0;2016;Kvinna;31-40;24
96000;0;0;0;0;0;0;0;78000;18000;2020;Man;18-30;21
5000;0;0;0;0;0;0;0;5000;0;2020;Man;18-30;1
3000;0;0;0;0;0;0;0;0;3000;2020;Kvinna;61-70;2
35000;0;0;0;0;0;0;0;0;34000;2007;Man;11-17;0
166000;0;0;0;0;0;0;0;154000;1000;2019;Kvinna;18-30;19
0;0;0;0;0;0;0;0;0;0;2020;Man;18-30;2
209000;0;0;0;0;0;0;0;208000;0;2017;Man;31-40;11
30000;0;0;0;0;0;0;0;0;27000;2019;Man;18-30;8
136000;0;0;0;0;0;0;0;124000;0;2017;Kvinna;31-40;0
1000;0;0;0;0;0;0;0;1000;0;2016;Man;18-30;0
27994000;0;0;0;0;0;0;0;27518000;466000;2000;Man;61-70;21
31396000;0;0;0;0;0;0;0;30988000;0;2000;Man;31-40;5
12000;0;0;0;0;0;0;0;12000;0;2021;Man;61-70;19
7000;2000;0;0;2000;0;0;0;4000;2000;2018;Man;18-30;7
11000;0;0;0;0;0;0;0;11000;0;2000;Kvinna;71-80;0
11000;0;0;0;0;0;0;0;0;11000;2021;Kvinna;61-70;3
8000;0;0;0;0;0;0;0;0;8000;2018;Kvinna;18-30;0
2000;0;0;0;0;0;0;0;0;0;2021;Kvinna;18-30;2
7000;0;0;0;0;0;0;0;5000;2000;2021;Man;41-50;2
129000;0;0;0;0;0;0;0;128000;0;2020;Man;18-30;19
0;0;0;0;0;0;0;0;0;0;2020;Kvinna;18-30;0
86000;0;0;0;0;0;0;0;51000;35000;2020;Kvinna;51-60;0
52000;0;0;0;0;0;0;0;31000;20000;2007;Kvinna;41-50;0
24000;0;0;0;0;0;0;0;23000;0;2017;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2009;Kvinna;31-40;0
3064000;0;0;0;0;0;0;0;2877000;111000;2015;Man;81-90;14
0;0;0;0;0;0;0;0;0;0;2018;Man;31-40;0
26000;0;0;0;0;0;0;0;16000;6000;2021;Man;18-30;19
2000;0;0;0;0;0;0;0;0;0;2020;Man;31-40;3
170000;0;0;0;0;0;0;0;124000;45000;2020;Man;31-40;29
3000;0;0;0;0;0;0;0;3000;0;2020;Man;41-50;26
210000;0;0;0;0;0;0;0;90000;54000;2021;Man;61-70;25
15000;0;0;0;0;0;0;0;15000;0;2021;Man;18-30;13
2960000;0;0;0;0;0;0;0;2946000;0;2021;Man;41-50;29
2000;0;0;0;0;0;0;0;1000;0;2021;Man;61-70;3
55000;0;0;0;0;0;0;0;10000;0;2019;Kvinna;18-30;2
484000;0;0;0;0;0;0;0;76000;380000;2020;Kvinna;51-60;3
849000;0;0;0;0;0;0;0;264000;0;2014;Man;61-70;23
1000;0;0;0;0;0;0;0;0;1000;2020;Kvinna;41-50;0
233000;0;0;0;0;0;0;0;113000;51000;2007;Kvinna;41-50;6
5000;0;0;0;0;0;0;0;0;5000;2021;Kvinna;51-60;14
2067000;0;0;0;0;0;0;0;171000;224000;2007;Kvinna;71-80;0
325000;0;0;0;0;0;0;0;252000;71000;2013;Man;31-40;13
45000;0;0;0;0;0;0;0;0;45000;2010;Man;31-40;0
132000;86000;0;12000;25000;0;43000;6000;15000;115000;2019;Kvinna;31-40;4
30000;0;0;0;0;0;0;0;30000;0;2021;Man;18-30;26
34000;0;0;0;0;0;0;0;34000;0;2019;Kvinna;31-40;20
22000;0;0;0;0;0;0;0;22000;0;2020;Kvinna;18-30;29
426000;0;0;0;0;0;0;0;245000;0;2021;Man;31-40;23
97000;0;0;0;0;0;0;0;0;31000;2021;Kvinna;41-50;12
51000;46000;0;0;0;3000;0;43000;1000;49000;2018;Kvinna;31-40;2
209000;0;0;0;0;0;0;0;0;209000;2019;Man;18-30;5
2631000;0;0;0;0;0;0;0;1880000;746000;2000;Man;51-60;23
70000;0;0;0;0;0;0;0;49000;0;2020;Man;61-70;0
0;0;0;0;0;0;0;0;0;0;2020;Man;18-30;0
70000;0;0;0;0;0;0;0;66000;0;2017;Man;18-30;23
52000;0;0;0;0;0;0;0;5000;31000;2020;Kvinna;11-17;8
46000;0;0;0;0;0;0;0;39000;3000;2015;Man;18-30;13
42000;0;0;0;0;0;0;0;42000;0;2021;Man;18-30;16
2000;0;0;0;0;0;0;0;2000;0;2020;Kvinna;41-50;14
131000;0;0;0;0;0;0;0;0;131000;2020;Kvinna;0-10;0
23000;0;0;0;0;0;0;0;0;0;2020;Man;31-40;13
